marca,clase,servicio,cantidad
FOTON,Camión,PARTICULAR,47
VOLKSWAGEN,Automóvil,ALQUILER,46
DAIHATSU,Tanquero,PARTICULAR,45
NISSAN,Camión,ESTADO,44
Otras Marcas,Camión,ALQUILER,44
FORD,Tanquero,ALQUILER,44
MITSUBISHI,Camión,MUNNICIPIO,44
CHEVROLET,Tanquero,ALQUILER,43
DODGE,Furgoneta P,PARTICULAR,43
HINO,Otra Clase,ALQUILER,43
Otras Marcas,Otra Clase,MUNNICIPIO,42
MACK,Tanquero,PARTICULAR,42
Otras Marcas,Autobus,ESTADO,42
NISSAN,Camioneta,MUNNICIPIO,41
MITSUBISHI,Tanquero,PARTICULAR,41
LADA,Camioneta,PARTICULAR,40
NISSAN,Trailer,PARTICULAR,39
VOLVO,Volqueta,ALQUILER,39
VOLVO,Autobus,ALQUILER,39
QMC,Jeep,PARTICULAR,39
MERCEDES BENZ,Volqueta,MUNNICIPIO,38
HONDA,Furgoneta C,PARTICULAR,38
SCANIA,Otra Clase,PARTICULAR,38
INTERNATIONAL,Otra Clase,MUNNICIPIO,38
VOLVO,Otra Clase,PARTICULAR,37
CHEVROLET,Otra Clase,ESTADO,36
CHRYSLER,Furgoneta P,PARTICULAR,36
DAIHATSU,Furgoneta P,ALQUILER,36
MERCEDES BENZ,Otra Clase,ALQUILER,36
ASIA,Autobus,ALQUILER,36
HONDA,Motocicleta,ESTADO,35
CITROEN,Furgoneta P,PARTICULAR,35
FIAT,Camión,PARTICULAR,35
MAN,Trailer,PARTICULAR,35
SAEHAN,Automóvil,PARTICULAR,35
INTERNATIONAL,Volqueta,MUNNICIPIO,35
CHEVROLET,Volqueta,MUNNICIPIO,34
QMC,Camioneta,PARTICULAR,34
MITSUBISHI,Jeep,MUNNICIPIO,34
HYUNDAI,Furgoneta C,ESTADO,34
INTERNATIONAL,Camión,ALQUILER,33
KENWORTH,Volqueta,PARTICULAR,33
HINO,Otra Clase,MUNNICIPIO,33
INTERNATIONAL,Tanquero,ESTADO,32
FORD,Otra Clase,ESTADO,32
GMC,Volqueta,PARTICULAR,31
NISSAN,Otra Clase,ESTADO,31
TOYOTA,Autobus,ESTADO,31
NISSAN,Autobus,PARTICULAR,31
VOLVO,Trailer,ALQUILER,31
TOYOTA,Furgoneta C,ESTADO,31
TATA,Camión,PARTICULAR,31
HYUNDAI,Volqueta,PARTICULAR,30
LEXUS,Automóvil,PARTICULAR,30
HINO,Furgoneta P,ALQUILER,30
WILLYS,Camioneta,PARTICULAR,29
HINO,Camión,MUNNICIPIO,29
HINO,Camión,ESTADO,29
ASIA,Furgoneta P,PARTICULAR,28
MITSUBISHI,Volqueta,ALQUILER,28
ISUZU,Tanquero,PARTICULAR,27
FORD,Volqueta,MUNNICIPIO,27
DODGE,Volqueta,PARTICULAR,27
KENWORTH,Camión,PARTICULAR,27
ISUZU,Volqueta,PARTICULAR,27
CHEVROLET,Volqueta,ESTADO,27
MACK,Otra Clase,ALQUILER,27
FORD,Camión,ESTADO,27
Otras Marcas,Volqueta,ALQUILER,27
KIA,Furgoneta C,ESTADO,26
INTERNATIONAL,Otra Clase,OTROS,26
HYUNDAI,Tanquero,PARTICULAR,26
JAC,Camión,ALQUILER,26
SCANIA,Tanquero,PARTICULAR,26
NISSAN,Furgoneta C,ESTADO,26
NISSAN,Volqueta,ESTADO,25
HYUNDAI,Otra Clase,ESTADO,24
GMC,Trailer,PARTICULAR,24
SCANIA,Trailer,ALQUILER,24
DAIHATSU,Jeep,ESTADO,24
SSANGYONG,Furgoneta C,PARTICULAR,24
ZOTYE,Automóvil,PARTICULAR,24
LADA,Furgoneta P,ALQUILER,24
DAIHATSU,Automóvil,ALQUILER,24
ISUZU,Autobus,PARTICULAR,24
YAMAHA,Motocicleta,ESTADO,24
VOLKSWAGEN,Volqueta,PARTICULAR,23
TOYOTA,Tanquero,PARTICULAR,23
INTERNATIONAL,Autobus,ALQUILER,23
MAN,Otra Clase,PARTICULAR,23
MAZDA,Furgoneta C,ALQUILER,22
TOYOTA,Volqueta,PARTICULAR,22
FREIGHTLINER,Camión,PARTICULAR,22
TOYOTA,Autobus,ALQUILER,22
HINO,Autobus,ESTADO,22
INTERNATIONAL,Otra Clase,ESTADO,22
CHEVROLET,Automóvil,ESTADO,22
VESPA,Motocicleta,ESTADO,22
QMC,Camión,ALQUILER,22
AUDI,Jeep,PARTICULAR,22
HYUNDAI,Trailer,PARTICULAR,21
MERCEDES BENZ,Volqueta,ESTADO,21
MAN,Trailer,ALQUILER,21
KIA,Autobus,PARTICULAR,20
ISUZU,Otra Clase,PARTICULAR,20
KIA,Furgoneta P,ALQUILER,20
Otras Marcas,Tanquero,ALQUILER,19
VOLVO,Jeep,PARTICULAR,19
FORD,Autobus,ESTADO,19
KIA,Otra Clase,ESTADO,19
TOYOTA,Furgoneta P,ESTADO,19
MITSUBISHI,Automóvil,ALQUILER,19
FIAT,Volqueta,PARTICULAR,19
LEXUS,Jeep,PARTICULAR,19
Otras Marcas,Otra Clase,ESTADO,19
INTERNATIONAL,Tanquero,ALQUILER,19
ASIA,Camioneta,PARTICULAR,18
SUZUKI,Furgoneta P,ESTADO,18
INTERNATIONAL,Furgoneta P,PARTICULAR,18
MITSUBISHI,Furgoneta C,ALQUILER,18
FORD,Automóvil,ALQUILER,18
SUBARU,Camioneta,PARTICULAR,18
VOLKSWAGEN,Autobus,PARTICULAR,18
DONGFENG,Motocicleta,PARTICULAR,17
HINO,Otra Clase,ESTADO,17
ISUZU,Jeep,ESTADO,17
SCANIA,Volqueta,ESTADO,17
KIA,Otra Clase,PARTICULAR,17
DODGE,Otra Clase,PARTICULAR,17
LEXUS,Furgoneta P,PARTICULAR,17
MITSUBISHI,Camión,ESTADO,17
MAN,Camión,ALQUILER,17
CHANGHE,Furgoneta P,PARTICULAR,16
TATA,Furgoneta P,PARTICULAR,16
FORD,Jeep,MUNNICIPIO,16
CHEVROLET,Camioneta,OTROS,16
PORSCHE,Furgoneta P,PARTICULAR,16
FIAT,Jeep,PARTICULAR,16
NISSAN,Otra Clase,ALQUILER,16
HYUNDAI,Camión,MUNNICIPIO,16
MERCEDES BENZ,Autobus,ESTADO,15
DAIHATSU,Otra Clase,PARTICULAR,15
VOLKSWAGEN,Otra Clase,PARTICULAR,15
CHEVROLET,Furgoneta C,ESTADO,15
CHANGAN,Camión,PARTICULAR,14
MAN,Autobus,ALQUILER,14
NISSAN,Tanquero,ALQUILER,14
TOYOTA,Automóvil,ESTADO,14
MITSUBISHI,Autobus,ESTADO,14
DONGFENG,Volqueta,PARTICULAR,14
TATA,Automóvil,ALQUILER,14
KIA,Autobus,ALQUILER,13
VOLKSWAGEN,Tanquero,PARTICULAR,13
KIA,Camioneta,ALQUILER,13
WILLYS,Furgoneta P,PARTICULAR,13
NISSAN,Furgoneta P,ESTADO,13
HYUNDAI,Otra Clase,MUNNICIPIO,13
HONDA,Camioneta,PARTICULAR,13
SCANIA,Volqueta,ALQUILER,13
ASIA,Autobus,PARTICULAR,13
NISSAN,Jeep,MUNNICIPIO,13
TATA,Jeep,PARTICULAR,13
FREIGHTLINER,Tanquero,PARTICULAR,13
RENAULT,Otra Clase,PARTICULAR,13
FORD,Camioneta,MUNNICIPIO,13
CHEVROLET,Tanquero,ESTADO,12
FORD,Furgoneta C,ESTADO,12
MAN,Volqueta,ALQUILER,12
KENWORTH,Tanquero,ALQUILER,12
Otras Marcas,Camión,MUNNICIPIO,12
MERCEDES BENZ,Otra Clase,ESTADO,12
CITROEN,Camioneta,PARTICULAR,12
PEUGEOT,Furgoneta C,PARTICULAR,12
DAIHATSU,Camión,ESTADO,12
ASIA,Furgoneta P,ALQUILER,12
KIA,Camión,ESTADO,12
GMC,Tanquero,PARTICULAR,12
AUDI,Furgoneta P,PARTICULAR,12
SUZUKI,Motocicleta,MUNNICIPIO,12
